"scenario_type","symptoms","possible_causes","contextual_advice"
"Unusual Smell","Sweet smell from vents","Burning clutch","Avoid using vehicle until source is found"
"Loss of Power","Hesitation when pressing the gas pedal","Clogged air filter","Inspect air intake system"
"Brake Issues","Spongy brake pedal","Brake fluid leak","Check brake fluid level"
"Vibration","Steering wheel shakes at high speeds","Engine mount failure","Check tire balance"
"Overheating","Coolant smell from vents","Malfunctioning thermostat","Stop driving immediately"
"Poor Fuel Economy","Fuel gauge moves quickly","Mass airflow sensor fault","Check tire pressure"
"Overheating","Steam from the hood","Low coolant level","Check coolant levels"
"Car Won’t Start","Engine cranks but doesn't start","Dead battery","Call roadside assistance"
"Overheating","Steam from the hood","Low coolant level","Stop driving immediately"
"Car Won’t Start","No response when turning the key","Faulty starter motor","Test battery and starter"
"Overheating","Temperature gauge rising quickly","Malfunctioning thermostat","Stop driving immediately"
"Vibration","Car vibrates when idling","Engine mount failure","Check tire balance"
"Warning Light","Battery warning illuminates","Faulty oxygen sensor","Visit a mechanic soon"
"Overheating","Coolant smell from vents","Malfunctioning thermostat","Let engine cool before opening hood"
"Unusual Smell","Sweet smell from vents","Oil leak on exhaust","Ventilate interior"
"Leaking Fluid","Drips from under engine bay","Oil pan gasket leak","Visit mechanic for diagnosis"
"Vibration","Steering wheel shakes at high speeds","Unbalanced tires","Have engine mounts looked at"
"Warning Light","Battery warning illuminates","Battery nearing end of life","Visit a mechanic soon"
"Unusual Smell","Fuel smell inside cabin","Burning clutch","Ventilate interior"
"Brake Issues","Brakes feel weak","Worn brake pads","Check brake fluid level"
"Brake Issues","Spongy brake pedal","Worn brake pads","Have brakes inspected"
"Unusual Smell","Burning rubber smell","Burning clutch","Inspect for leaks"
"Loss of Power","Engine struggles uphill","Failing spark plugs","Replace spark plugs"
"Overheating","Coolant smell from vents","Malfunctioning thermostat","Stop driving immediately"
"Loss of Power","Engine struggles uphill","Clogged air filter","Consult a transmission specialist"
"Vibration","Car vibrates when idling","Engine mount failure","Have engine mounts looked at"
"Strange Noise","High-pitched squeal when braking","Loose heat shield","Inspect brake system"
"Poor Fuel Economy","Frequent refueling needed","Under-inflated tires","Monitor driving habits"
"Loss of Power","Sluggish acceleration","Clogged air filter","Inspect air intake system"
"Poor Fuel Economy","Fuel gauge moves quickly","Dirty fuel injectors","Monitor driving habits"
"Warning Light","ABS light flashes intermittently","Faulty oxygen sensor","Visit a mechanic soon"
"Leaking Fluid","Drips from under engine bay","Brake fluid reservoir leak","Identify fluid color for source"
"Warning Light","Battery warning illuminates","Faulty oxygen sensor","Check and tighten gas cap"
"Leaking Fluid","Puddle under the car","Coolant hose crack","Identify fluid color for source"
"Car Won’t Start","No response when turning the key","Faulty starter motor","Test battery and starter"
"Poor Fuel Economy","Frequent refueling needed","Under-inflated tires","Check tire pressure"
"Strange Noise","High-pitched squeal when braking","Loose heat shield","Schedule a noise inspection"
"Loss of Power","Hesitation when pressing the gas pedal","Clogged air filter","Inspect air intake system"
"Warning Light","ABS light flashes intermittently","Battery nearing end of life","Visit a mechanic soon"
"Car Won’t Start","Engine cranks but doesn't start","Dead battery","Test battery and starter"
"Vibration","Vibration during braking","Warped brake rotors","Inspect suspension"
"Warning Light","ABS light flashes intermittently","Loose gas cap","Check and tighten gas cap"
"Unusual Smell","Sweet smell from vents","Coolant leak","Avoid using vehicle until source is found"
"Car Won’t Start","Starter clicks but car doesn't turn over","Faulty starter motor","Call roadside assistance"
"Loss of Power","Engine struggles uphill","Transmission issues","Inspect air intake system"
"Strange Noise","Clunking noise under the car","Worn brake pads","Check undercarriage for damage"
"Brake Issues","Brake pedal sinks to the floor","Worn brake pads","Have brakes inspected"
"Warning Light","Battery warning illuminates","Battery nearing end of life","Get a diagnostic scan"
"Strange Noise","Clunking noise under the car","Worn brake pads","Check undercarriage for damage"
"Unusual Smell","Fuel smell inside cabin","Burning clutch","Inspect for leaks"
"Warning Light","Battery warning illuminates","Battery nearing end of life","Get a diagnostic scan"
"Unusual Smell","Burning rubber smell","Coolant leak","Inspect for leaks"
"Overheating","Steam from the hood","Radiator issues","Check coolant levels"
"Car Won’t Start","Starter clicks but car doesn't turn over","Fuel pump failure","Jump start the vehicle"
"Leaking Fluid","Oily residue on driveway","Brake fluid reservoir leak","Identify fluid color for source"
"Warning Light","Battery warning illuminates","Battery nearing end of life","Visit a mechanic soon"
"Loss of Power","Hesitation when pressing the gas pedal","Clogged air filter","Consult a transmission specialist"
"Brake Issues","Brakes feel weak","Worn brake pads","Check brake fluid level"
"Warning Light","Battery warning illuminates","Battery nearing end of life","Visit a mechanic soon"
"Poor Fuel Economy","Fuel gauge moves quickly","Mass airflow sensor fault","Monitor driving habits"
"Leaking Fluid","Drips from under engine bay","Oil pan gasket leak","Visit mechanic for diagnosis"
"Poor Fuel Economy","Frequent refueling needed","Mass airflow sensor fault","Clean fuel system"
"Car Won’t Start","Engine cranks but doesn't start","Dead battery","Jump start the vehicle"
"Warning Light","ABS light flashes intermittently","Loose gas cap","Check and tighten gas cap"
"Car Won’t Start","No response when turning the key","Fuel pump failure","Call roadside assistance"
"Warning Light","Check engine light is on","Faulty oxygen sensor","Get a diagnostic scan"
"Poor Fuel Economy","Fuel gauge moves quickly","Under-inflated tires","Monitor driving habits"
"Overheating","Coolant smell from vents","Malfunctioning thermostat","Check coolant levels"
"Brake Issues","Brakes feel weak","Worn brake pads","Check brake fluid level"
"Overheating","Coolant smell from vents","Low coolant level","Stop driving immediately"
"Poor Fuel Economy","Fuel gauge moves quickly","Dirty fuel injectors","Clean fuel system"
"Car Won’t Start","No response when turning the key","Dead battery","Jump start the vehicle"
"Brake Issues","Brakes feel weak","Brake fluid leak","Avoid driving until resolved"
"Poor Fuel Economy","Frequent refueling needed","Dirty fuel injectors","Check tire pressure"
"Brake Issues","Brakes feel weak","Worn brake pads","Check brake fluid level"
"Strange Noise","Clunking noise under the car","Damaged suspension","Check undercarriage for damage"
"Strange Noise","Clunking noise under the car","Loose heat shield","Schedule a noise inspection"
"Loss of Power","Hesitation when pressing the gas pedal","Failing spark plugs","Inspect air intake system"
"Warning Light","ABS light flashes intermittently","Faulty oxygen sensor","Check and tighten gas cap"
"Leaking Fluid","Puddle under the car","Coolant hose crack","Visit mechanic for diagnosis"
"Warning Light","ABS light flashes intermittently","Battery nearing end of life","Check and tighten gas cap"
"Brake Issues","Brake pedal sinks to the floor","Worn brake pads","Check brake fluid level"
"Strange Noise","Clunking noise under the car","Loose heat shield","Check undercarriage for damage"
"Vibration","Car vibrates when idling","Unbalanced tires","Check tire balance"
"Warning Light","Battery warning illuminates","Battery nearing end of life","Visit a mechanic soon"
"Leaking Fluid","Puddle under the car","Oil pan gasket leak","Clean area and monitor"
"Loss of Power","Hesitation when pressing the gas pedal","Failing spark plugs","Consult a transmission specialist"
"Unusual Smell","Burning rubber smell","Coolant leak","Inspect for leaks"
"Leaking Fluid","Drips from under engine bay","Oil pan gasket leak","Visit mechanic for diagnosis"
"Overheating","Temperature gauge rising quickly","Low coolant level","Stop driving immediately"
"Warning Light","Battery warning illuminates","Battery nearing end of life","Visit a mechanic soon"
"Warning Light","Battery warning illuminates","Faulty oxygen sensor","Get a diagnostic scan"
"Vibration","Vibration during braking","Unbalanced tires","Have engine mounts looked at"
"Strange Noise","Clunking noise under the car","Worn brake pads","Check undercarriage for damage"
"Overheating","Coolant smell from vents","Low coolant level","Stop driving immediately"
"Unusual Smell","Burning rubber smell","Coolant leak","Ventilate interior"
"Car Won’t Start","Starter clicks but car doesn't turn over","Faulty starter motor","Jump start the vehicle"
"Strange Noise","High-pitched squeal when braking","Worn brake pads","Inspect brake system"
"Poor Fuel Economy","Drop in miles per gallon","Mass airflow sensor fault","Monitor driving habits"
"Loss of Power","Engine struggles uphill","Clogged air filter","Inspect air intake system"
"Steering Issues","Steering feels loose","Worn tie rod ends","Inspect steering linkage"
"Electrical Issues","Headlights dim when braking","Weak battery/alternator","Test charging system"
"Transmission Issues","Delayed gear engagement","Low transmission fluid","Check fluid level, scan for codes"
"Strange Noise","Rattling from exhaust","Loose muffler clamp","Inspect exhaust system mounts"
