"system_type","name","description","interconnected_parts"
"Ignition System","Spark Plug","Generates electric spark to ignite air-fuel mixture in cylinder","Ignition Coil, ECU, High-Tension Leads, Battery"
"Engine","Piston","Sliding cylinder component transferring force from expanding gas to crankshaft","Connecting Rod, Cylinder, Piston Rings, Crankshaft, Cylinder Head"
"Braking System","Brake Rotor","Rotating disc connected to wheel hub, squeezed by brake pads to slow wheel","Brake Caliper, Brake Pads, Wheel Hub, Brake Lines, Master Cylinder"
"Transmission System","Clutch Assembly","Connects and disconnects engine power from the manual transmission","Flywheel, Pressure Plate, Clutch Disc, Release Bearing, Master/Slave Cylinder"
"Fuel System","Fuel Injector","Electrically controlled valve spraying fuel into intake manifold or cylinder","Fuel Rail, Fuel Pump, ECU, Intake Manifold, Fuel Filter"
"Cooling System","Radiator","Heat exchanger transferring heat from coolant to the air","Coolant Hoses, Water Pump, Thermostat, Cooling Fan, Coolant Reservoir"
"Suspension System","Shock Absorber","Dampens oscillations and absorbs impacts from the road","Coil Spring, Strut Mount, Control Arms, Chassis, Wheel Hub"
"Electrical System","Alternator","Generates electrical power to charge the battery and run vehicle electrics","Battery, Voltage Regulator, Serpentine Belt, Engine Crankshaft Pulley"
"Exhaust System","Catalytic Converter","Reduces toxic pollutants in exhaust gas","Exhaust Manifold, Oxygen Sensor, Muffler, Tailpipe"
"Steering System","Power Steering Pump","Pressurizes fluid to assist steering effort","Steering Rack/Gearbox, Reservoir, Hoses, Serpentine Belt"
"Engine","Crankshaft","Converts linear piston motion into rotational motion","Connecting Rods, Pistons, Flywheel, Main Bearings, Engine Block"
"Transmission System","Automatic Transmission Fluid (ATF)","Hydraulic fluid used in automatic transmissions","Torque Converter, Valve Body, Planetary Gears, Clutches, Transmission Cooler"
"Braking System","Brake Caliper","Houses brake pads and pistons; squeezes pads against rotor","Brake Pads, Pistons, Brake Rotor, Brake Line, Mounting Bracket"
"Fuel System","Fuel Pump","Delivers fuel from the tank to the engine","Fuel Tank, Fuel Lines, Fuel Filter, Fuel Pressure Regulator, ECU"
"Cooling System","Water Pump","Circulates coolant throughout the engine and radiator","Engine Block, Radiator, Coolant Hoses, Thermostat Housing, Serpentine Belt"
"Suspension System","Control Arm","Connects the steering knuckle/wheel hub to the vehicle frame","Ball Joints, Bushings, Chassis, Steering Knuckle"
"Electrical System","Battery","Stores electrical energy and provides power","Alternator, Starter Motor, Terminals, Cables, Vehicle Electrical Loads"
"Exhaust System","Muffler","Reduces noise generated by the engine's exhaust gases","Exhaust Pipes, Catalytic Converter, Resonator, Tailpipe"
"Ignition System","Ignition Coil","Transforms low battery voltage to high voltage needed for spark plugs","Battery, ECU/Distributor, Spark Plugs, Wiring"
"Engine","Camshaft","Controls the opening and closing of engine valves","Valves, Lifters/Tappets, Timing Belt/Chain, Cylinder Head"
"Transmission System","Torque Converter","Fluid coupling in automatic transmissions","Impeller, Turbine, Stator, Transmission Input Shaft, Flexplate"
"Braking System","Brake Pads","Friction material pressed against the rotor","Brake Caliper, Brake Rotor, Shims, Backing Plate"
"Fuel System","Fuel Filter","Removes contaminants from fuel","Fuel Tank, Fuel Pump, Fuel Lines, Fuel Injectors/Carburetor"
"Cooling System","Thermostat","Regulates coolant flow and engine operating temperature","Engine Block, Radiator Hoses, Water Pump, Coolant"
"Suspension System","Coil Spring","Absorbs road impacts and supports vehicle weight","Shock Absorber/Strut, Control Arms, Spring Seats, Chassis"
"Electrical System","Starter Motor","Electric motor engaging the flywheel to crank the engine","Battery, Ignition Switch, Solenoid, Flywheel Ring Gear"
"Exhaust System","Oxygen Sensor","Measures oxygen content in exhaust gas","Exhaust Manifold/Pipe, Catalytic Converter, ECU, Wiring"
"Steering System","Steering Rack and Pinion","Converts steering wheel rotation into linear motion","Tie Rods, Pinion Gear, Rack Gear, Steering Column, Power Steering Pump"
"Engine","Cylinder Head","Covers the top of the engine cylinders","Engine Block, Head Gasket, Valves, Camshafts, Intake/Exhaust Manifolds"
"Transmission System","Gearbox","Uses gears to change speed and torque transmission","Gears, Shafts, Synchromesh, Bearings, Shifter Mechanism, Clutch/Torque Converter"
"Braking System","Master Cylinder","Converts brake pedal force into hydraulic pressure","Brake Pedal, Brake Booster, Brake Fluid Reservoir, Brake Lines"
"Fuel System","Throttle Body","Controls airflow into the engine's intake manifold","Accelerator Pedal, Throttle Position Sensor, Idle Air Control Valve, Intake Manifold"
"Cooling System","Cooling Fan","Draws air through the radiator to enhance cooling","Radiator, Fan Motor/Clutch, Shroud, Temperature Sensor/Switch"
"Suspension System","Ball Joint","Pivot point connecting control arms to the steering knuckle","Control Arm, Steering Knuckle, Suspension Geometry"
"Electrical System","Engine Control Unit (ECU)","Computer managing engine functions","Sensors (O2, MAF, Temp), Actuators (Injectors, Coils), Wiring Harness, Battery"
"Exhaust System","Exhaust Manifold","Collects exhaust gases from multiple cylinders","Cylinder Head, Exhaust Pipe, Gaskets, Oxygen Sensor"
"Ignition System","Distributor","Distributes high voltage (older cars)","Ignition Coil, Rotor, Cap, Spark Plug Wires, Camshaft/Crankshaft"
"Engine","Timing Belt/Chain","Synchronizes rotation of crankshaft and camshaft(s)","Crankshaft Sprocket, Camshaft Sprocket(s), Tensioner, Idler Pulleys"
"Transmission System","Driveshaft","Transmits torque from transmission to differential","Universal Joints (U-Joints), Transmission Output Shaft, Differential Pinion Flange"
"Braking System","Brake Fluid","Hydraulic fluid transmitting force","Master Cylinder, Brake Lines, Calipers, Wheel Cylinders, Reservoir"
"Fuel System","Mass Airflow Sensor (MAF)","Measures amount of air entering the engine","Air Filter Housing, Intake Tube, ECU, Throttle Body"
"Cooling System","Coolant","Fluid absorbing heat from engine","Engine Block, Radiator, Water Pump, Hoses, Heater Core"
"Suspension System","Sway Bar","Reduces body roll during cornering","Links, Bushings, Chassis, Control Arms/Axle"
"Electrical System","Wiring Harness","Bundle of wires transmitting signals and power","ECU, Sensors, Lights, Switches, Fuses, Relays"
"Steering System","Tie Rod End","Connects steering rack/linkage to the steering knuckle","Steering Rack/Linkage, Steering Knuckle, Adjusting Sleeve"
"Engine","Piston Rings","Seal the gap between piston and cylinder wall","Piston, Cylinder, Engine Oil, Combustion Chamber"
"Transmission System","Differential","Allows drive wheels to rotate at different speeds","Ring Gear, Pinion Gear, Spider Gears, Side Gears, Axle Shafts, Driveshaft"
"Braking System","Anti-lock Braking System (ABS) Module","Controls brake pressure to prevent wheel lock-up","Wheel Speed Sensors, Hydraulic Modulator, ECU, Master Cylinder"
"Fuel System","Fuel Tank","Stores the vehicle's fuel supply","Fuel Pump, Fuel Level Sender, Filler Neck, Vent Lines"
"Cooling System","Heater Core","Small radiator using engine coolant for cabin heat","Coolant Hoses, Blower Motor, HVAC Controls, Dashboard Vents"
"Suspension System","Steering Knuckle","Connects wheel hub, suspension, and steering linkage","Wheel Hub/Bearing, Control Arms, Ball Joints, Tie Rod End, Strut/Shock Absorber"
"Electrical System","Fuse Box","Centralizes electrical fuses","Fuses, Relays, Wiring Harness, Battery"
